 United States         ,Other,1,6,6,6,6,6,1,1,1,1,6,6,6,7,1,6,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,7,6,1,6,1,6,6,1,1,1,1,1,1,6,6,6,1,1,1,6,1,1,6,6,7,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,6,6,1,1,1,6,6,6,6,1,6,6,6,6,1,6,6,6,6,1,6,6,6,6,1,6,1,6,1,1,1,1,7,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,7,6,6,6,6,6,6,6,6,1,6,1,1,1,1,1,7,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,1,1,7,1,6,6,7,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6
 Canada                ,Other,6,6,6,6,6,1,1,1,1,1,6,6,6,7,1,6,1,1,1,6,7,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,1,1,6,6,6,1,7,6,6,1,1,6,6,7,7,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,1,6,6,1,1,1,1,6,6,6,6,6,6,6,6,1,6,6,6,7,6,6,6,6,6,6,6,1,6,7,6,1,1,6,6,6,6,6,7,1,6,6,6,6,1,6,6,6,6,1,6,1,7,1,1,1,1,7,1,1,7,6,6,6,6,1,1,1,1,1,1,1,1,7,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,6,1,1,1,1,7,1,6,1,1,1,6,1,7,1,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,1,1,1,7,7,7,7,7,6,7,7,1,1,6,6,6,6,6,6,6,6,6,1,7
 Cuba                  ,Other,1,6,1,1,1,1,1,1,1,1,6,9,9,6,1,6,1,6,6,1,7,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,1,1,6,6,7,7,6,1,1,6,6,7,6,1,6,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,6,6,6,6,1,1,1,1,6,7,6,1,1,1,1,1,1,6,6,7,7,6,6,6,6,1,7,6,1,1,1,7,6,7,1,1,6,1,1,6,1,6,6,6,7,1,7,6,7,7,1,6,1,1,6,1,1,1,6,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,7,1,6,1,1,1,7,7,6,1,1,6,6,6,1,6,7,1,6,1,1,1,1,1,7,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,1,6,6,1,1,1,1,1,1,1,7,1,1,6,6,1,1,1,1,1,1,1,1,1,7,6
 Haiti                 ,Other,1,6,6,9,1,9,1,1,9,9,9,9,9,6,1,6,1,6,6,1,1,7,7,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,1,1,1,7,6,1,6,1,6,6,1,6,1,1,1,6,6,1,7,7,1,1,7,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,6,7,1,1,1,6,6,6,9,9,9,9,9,9,6,6,6,6,6,6,6,6,9,6,7,1,1,1,7,7,6,1,1,6,1,1,6,9,1,6,7,1,1,7,6,1,1,1,6,1,1,1,1,1,1,6,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,1,7,6,1,6,7,7,7,6,1,7,1,1,1,6,6,1,6,1,1,1,1,9,9,1,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,7,6
 Dominican Rep         ,Other,1,6,6,7,1,1,1,1,1,1,6,6,6,6,1,6,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,9,1,7,7,1,1,7,1,1,1,6,1,1,1,6,6,6,1,7,7,6,1,1,6,6,1,6,1,1,1,1,1,1,6,6,6,7,1,1,1,1,1,1,6,6,6,1,1,1,1,6,7,6,6,7,6,6,7,1,6,6,6,6,6,6,6,6,7,9,6,1,1,1,6,1,1,7,1,6,1,1,6,1,6,1,6,6,1,6,6,6,6,1,6,1,1,1,1,1,1,7,7,1,6,7,6,6,6,1,1,9,9,9,1,1,1,1,6,6,6,6,6,6,6,7,1,6,1,1,1,7,7,7,1,1,6,6,6,1,6,1,1,1,7,1,1,1,1,7,7,6,6,6,6,6,6,6,6,7,1,1,1,1,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,1,7,6,1,7,1,6,1,1,7,7,1,1,7,7,7,7,7,7,7,6,6
 Mexico                ,Other,1,6,1,1,1,1,1,1,9,6,9,9,9,6,6,7,7,6,6,1,1,9,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,7,1,6,1,7,1,6,6,7,7,1,1,1,6,6,7,7,7,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,7,6,6,7,1,1,1,1,6,7,7,1,1,1,1,1,6,6,6,7,1,6,6,6,7,1,6,6,1,1,1,6,6,6,1,1,6,1,1,6,1,9,7,7,1,1,6,6,6,6,1,7,7,7,7,1,1,1,6,1,1,6,7,7,6,6,1,1,9,9,9,1,1,1,6,9,9,9,9,9,9,9,6,1,6,1,1,1,1,1,6,1,1,6,6,6,1,6,1,1,6,1,1,1,1,1,1,7,7,6,6,7,7,6,6,6,6,1,1,1,1,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,6,7,1,1,1,1,1,1,1,7,7,1,1,1,1,1,7,7,7,7,1,1,6,6
 Guatemala             ,Other,1,6,6,6,9,1,9,1,9,9,9,9,9,9,9,1,9,6,6,1,1,7,1,7,1,1,1,1,1,1,1,1,1,6,6,7,7,1,1,1,6,1,1,1,6,7,7,7,7,6,1,1,1,6,6,7,7,6,1,1,7,1,1,1,1,1,1,1,1,6,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,6,9,9,9,9,9,9,9,9,9,9,9,1,1,1,7,6,6,1,1,6,1,1,9,9,7,6,7,1,1,7,6,6,7,1,7,6,7,7,1,9,9,6,1,1,6,7,7,7,7,1,1,1,1,1,1,7,1,6,1,1,1,1,1,7,6,7,1,6,6,1,1,1,1,6,1,7,6,6,6,1,7,6,1,6,1,1,1,1,1,1,7,7,7,7,7,7,6,6,6,7,1,1,1,1,9,9,9,7,9,7,7,7,7,7,9,9,7,7,7,7,1,6,6,7,1,1,1,1,1,1,1,9,9,7,1,6,6,6,6,6,6,6,6,6,6,7
 Honduras              ,Other,1,6,1,1,1,9,9,9,1,1,6,6,6,6,1,9,1,6,6,1,7,9,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,6,1,6,6,9,7,9,9,9,7,7,7,6,1,6,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,7,6,9,9,1,1,1,1,6,6,6,9,9,9,9,9,9,6,6,7,7,6,6,6,6,7,9,9,1,1,1,6,6,6,1,1,6,1,1,6,1,6,6,7,7,1,9,9,1,9,9,6,1,1,1,1,9,1,6,1,1,7,7,7,6,6,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,7,1,1,6,6,6,7,6,1,1,6,9,9,9,9,1,1,7,7,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,7,6,6,7,9,9,9,9,9,9,9,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6
 El Salvador           ,Other,1,6,1,7,9,9,1,6,9,9,6,6,6,6,1,9,1,1,1,6,6,9,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,6,6,6,1,9,6,1,1,1,6,6,7,1,7,6,9,1,1,7,6,9,9,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,7,9,9,9,9,9,9,9,9,9,9,6,7,7,7,6,1,6,6,6,6,6,6,6,6,9,9,6,9,1,1,6,6,6,6,1,6,1,1,9,9,9,9,9,9,9,7,6,6,7,1,6,1,1,1,9,1,1,6,1,1,1,9,9,9,9,1,1,1,1,1,7,1,1,1,6,6,6,6,6,6,6,7,7,6,1,1,1,7,7,6,1,1,6,6,6,7,6,7,1,9,7,1,1,1,9,9,6,7,6,6,6,6,6,7,6,6,1,1,1,1,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,6,6,1,1,1,1,1,1,1,1,1,6,6
 Nicaragua             ,Other,1,6,1,1,1,9,9,6,9,9,9,9,9,9,9,7,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,9,6,7,7,1,1,6,6,1,1,6,1,1,1,6,6,6,1,6,6,6,1,1,6,6,1,6,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,9,9,6,9,9,9,9,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,9,9,6,9,1,1,6,6,6,7,1,6,1,1,9,1,6,6,6,6,1,6,6,6,6,1,6,1,7,1,1,1,1,6,1,1,7,6,6,6,6,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,7,6,1,1,1,7,7,6,1,1,6,7,6,1,6,1,1,1,7,1,1,1,1,7,7,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,7,7,7,7,7,7,7,7,1,6,6,1,1,1,1,1,1,1,1,1,7,6
